Serial No.,Stocks allowed for MIS,Margin allowed,,,Serial No.,Stocks which were allowed but temporarily banned,Reason
1,3MINDIA,5X,,,,,
2,AARTIDRUGS,5X,,,,,
3,AARTIIND,5X,,,,,
4,AAVAS,5X,,,,,
5,ABB,5X,,,,,
6,ABBOTINDIA,5X,,,,,
7,ABCAPITAL,5X,,,  ,,
8,ABFRL,5X,,,,,
9,ACC,5X,,,,,
10,ACCELYA,5X,,,,,
11,ADANIENT,5X,,,,,
12,ADANIPORTS,5X,,,,,
13,ADVENZYMES,5X,,,,,
14,AEGISCHEM,5X,,,,,
15,AHLUCONT,5X,,,,,
16,AIAENG,5X,,,,,
17,AJANTPHARM,5X,,,,,
18,AKZOINDIA,5X,,,,,
19,ALEMBICLTD,5X,,,,,
20,ALKEM,5X,,,,,
21,ALLCARGO,5X,,,,,
22,ALOKINDS,5X,,,,,
23,AMARAJABAT,5X,,,,,
24,AMBER,5X,,,,,
25,AMBUJACEM,5X,,,,,
26,AMRUTANJAN,5X,,,,,
27,ANGELBRKG,5X,,,,,
28,APARINDS,5X,,,,,
29,APLLTD,5X,,,,,
30,APOLLOHOSP,5X,,,,,
31,APOLLOTYRE,5X,,,,,
32,ASAHIINDIA,5X,,,,,
33,ASHOKA,5X,,,,,
34,ASHOKLEY,5X,,,,,
35,ASIANPAINT,5X,,,,,
36,ASTERDM,5X,,,,,
37,ASTRAL,5X,,,,,
38,ASTRAZEN,5X,,,,,
39,ATUL,5X,,,,,
40,AUBANK,5X,,,,,
41,AUROPHARMA,5X,,,,,
42,AVANTIFEED,5X,,,,,
43,AXISBANK,5X,,,,,
44,BAJAJ-AUTO,5X,,,,,
45,BAJAJCON,5X,,,,,
46,BAJAJELEC,5X,,,,,
47,BAJAJFINSV,5X,,,,,
48,BAJAJHLDNG,5X,,,,,
49,BAJFINANCE,5X,,,,,
50,BALKRISIND,5X,,,,,
51,BALMLAWRIE,5X,,,,,
52,BALRAMCHIN,5X,,,,,
53,BANARISUG,5X,,,,,
54,BANDHANBNK,5X,,,,,
55,BANKBARODA,5X,,,,,
56,BANKBEES,5X,,,,,
57,BANKINDIA,5X,,,,,
58,BASF,5X,,,,,
59,BATAINDIA,5X,,,,,
60,BAYERCROP,5X,,,,,
61,BBTC,5X,,,,,
62,BDL,5X,,,,,
63,BEL,5X,,,,,
64,BEML,5X,,,,,
65,BERGEPAINT,5X,,,,,
66,BHARATFORG,5X,,,,,
67,BHARATRAS,5X,,,,,
68,BHARTIARTL,5X,,,,,
69,BHEL,5X,,,,,
70,BIOCON,5X,,,,,
71,BIRLACORPN,5X,,,,,
72,BLISSGVS,5X,,,,,
73,BLUEDART,5X,,,,,
74,BLUESTARCO,5X,,,,,
75,BOMDYEING,5X,,,,,
76,BOSCHLTD,5X,,,,,
77,BPCL,5X,,,,,
78,BRIGADE,5X,,,,,
79,BRITANNIA,5X,,,,,
80,BSOFT,5X,,,,,
81,CADILAHC,5X,,,,,
82,CANBK,5X,,,,,
83,CANFINHOME,5X,,,,,
84,CAPLIPOINT,5X,,,,,
85,CARERATING,5X,,,,,
86,CASTROLIND,5X,,,,,
87,CCL,5X,,,,,
88,CEATLTD,5X,,,,,
89,CENTRALBK,5X,,,,,
90,CENTURYPLY,5X,,,,,
91,CENTURYTEX,5X,,,,,
92,CERA,5X,,,,,
