ts,open,high,low,close,volume
2021-11-09 09:15:00,526.25,526.25,523.0,524.4,1078137
2021-11-09 09:20:00,524.3,524.7,522.5,524.2,792457
2021-11-09 09:25:00,524.25,524.8,523.5,524.2,396749
2021-11-09 09:30:00,524.2,524.7,523.15,524.6,364589
2021-11-09 09:35:00,524.6,526.0,524.05,525.2,533957
2021-11-09 09:40:00,525.2,525.5,524.9,525.35,380755
2021-11-09 09:45:00,525.4,525.7,523.15,523.95,497201
2021-11-09 09:50:00,523.9,525.3,523.9,524.7,317541
2021-11-09 09:55:00,524.6,524.95,524.0,524.45,221155
2021-11-09 10:00:00,524.4,525.5,524.2,525.2,209918
2021-11-09 10:05:00,525.25,525.65,524.8,524.95,205218
2021-11-09 10:10:00,525.0,525.2,524.85,525.2,102575
2021-11-09 10:15:00,525.2,528.4,525.0,527.8,832211
2021-11-09 10:20:00,527.8,527.9,526.65,527.15,309522
2021-11-09 10:25:00,527.15,527.2,526.75,526.85,146150
2021-11-09 10:30:00,526.85,528.0,526.5,526.85,313499
2021-11-09 10:35:00,526.9,529.4,526.85,528.65,440636
2021-11-09 10:40:00,528.75,528.8,527.55,527.9,178736
2021-11-09 10:45:00,528.05,528.5,527.1,527.3,179501
2021-11-09 10:50:00,527.25,528.2,526.9,527.3,279694
2021-11-09 10:55:00,527.25,528.45,526.85,528.0,184943
2021-11-09 11:00:00,528.1,528.1,527.25,527.55,116314
2021-11-09 11:05:00,527.35,528.0,527.35,527.8,112525
2021-11-09 11:10:00,527.75,527.85,527.2,527.45,112521
2021-11-09 11:15:00,527.5,529.0,527.0,529.0,330307
2021-11-09 11:20:00,528.95,530.0,528.65,530.0,1750956
2021-11-09 11:25:00,529.95,530.05,528.3,529.55,607483
2021-11-09 11:30:00,529.5,530.15,529.5,529.85,294786
2021-11-09 11:35:00,529.85,530.2,529.4,529.5,255355
2021-11-09 11:40:00,529.5,529.6,528.95,529.2,293252
2021-11-09 11:45:00,529.2,530.0,529.0,529.8,247756
2021-11-09 11:50:00,529.8,530.0,529.25,529.25,285229
2021-11-09 11:55:00,529.35,530.9,529.0,530.65,552207
2021-11-09 12:00:00,530.65,531.3,530.15,531.3,485369
2021-11-09 12:05:00,531.2,531.6,530.8,530.9,386092
2021-11-09 12:10:00,531.0,531.35,530.85,531.3,272926
2021-11-09 12:15:00,531.3,532.0,531.1,531.5,296057
2021-11-09 12:20:00,531.55,531.85,531.2,531.45,236319
2021-11-09 12:25:00,531.45,531.5,530.3,531.0,309185
2021-11-09 12:30:00,531.0,531.5,530.3,531.0,170411
2021-11-09 12:35:00,531.0,531.8,530.85,531.05,192123
2021-11-09 12:40:00,531.05,531.45,530.5,531.15,193383
2021-11-09 12:45:00,531.05,531.45,530.85,531.35,184080
2021-11-09 12:50:00,531.4,531.8,531.2,531.35,192160
2021-11-09 12:55:00,531.35,531.4,530.7,531.05,168068
2021-11-09 13:00:00,531.05,531.5,531.0,531.45,144174
2021-11-09 13:05:00,531.45,531.75,530.15,530.4,346466
2021-11-09 13:10:00,530.45,532.0,529.65,531.75,782059
2021-11-09 13:15:00,531.75,531.75,530.85,530.85,250525
2021-11-09 13:20:00,530.9,531.3,530.8,531.05,165177
2021-11-09 13:25:00,531.0,531.05,530.15,530.4,250580
2021-11-09 13:30:00,530.35,531.9,528.75,529.15,774817
2021-11-09 13:35:00,529.0,529.75,527.9,529.3,911072
2021-11-09 13:40:00,529.3,529.65,528.3,528.7,242446
2021-11-09 13:45:00,528.75,528.75,528.05,528.45,186202
2021-11-09 13:50:00,528.45,529.15,528.2,528.4,169486
2021-11-09 13:55:00,528.45,528.75,528.25,528.35,93058
2021-11-09 14:00:00,528.4,529.0,527.0,527.85,466930
2021-11-09 14:05:00,527.85,528.8,527.65,528.4,158609
2021-11-09 14:10:00,528.35,528.55,527.85,527.95,141906
2021-11-09 14:15:00,527.95,528.75,527.6,528.35,134426
2021-11-09 14:20:00,528.25,528.75,527.5,527.55,141083
2021-11-09 14:25:00,527.7,528.25,527.5,528.0,80571
2021-11-09 14:30:00,527.95,528.3,527.8,527.9,120058
2021-11-09 14:35:00,527.9,528.3,527.7,527.95,122294
2021-11-09 14:40:00,528.0,528.05,527.75,527.8,154907
2021-11-09 14:45:00,527.6,528.0,527.0,527.95,188058
2021-11-09 14:50:00,527.95,528.1,527.1,527.15,181595
2021-11-09 14:55:00,527.1,527.75,526.3,527.35,365442
2021-11-09 15:00:00,527.2,528.35,527.2,528.3,240237
2021-11-09 15:05:00,528.4,529.15,528.1,529.0,388425
2021-11-09 15:10:00,528.95,529.3,528.15,528.85,277536
2021-11-09 15:15:00,528.8,529.45,528.75,529.15,458791
2021-11-09 15:20:00,529.15,530.8,529.1,530.3,489157
2021-11-09 15:25:00,530.35,530.35,528.8,529.0,927496
